Title,YouTube Link,brief_desc,Built With,By,Location,cluster
Nourish Ninja,https://www.youtube.com/watch?v=x2Q5wAbd_ng,"The application provides personalized nutrition recommendations, tracking progress through a chatbot, recipe suggestions based on pantry items, and a shopping list generator, leveraging advanced nutritional analysis from the Gemini API to offer tailored dietary advice.","Flutter, Android, Firebase",Nourish Ninja,India,1
Nutrabling: AI-Powered Nutrition Expert,https://www.youtube.com/watch?v=S3_g7zI-VO0,"The application uses Generative AI to analyze images of food items and meals, providing detailed nutritional information and assessing the overall healthiness of the meal based on its analysis.",,Sani,India,0
NutriInsightAI,https://www.youtube.com/watch?v=qtSgHA415Tw,"The application allows users to analyze nutrition facts from food packaging images using AI-powered Gemini API, providing detailed information on various parameters such as health benefits and explanations.","Flutter, Firebase",NutriBuddy Developers,India,1
Nutritionist-Food-Recognition-Gemini-Pro,https://www.youtube.com/watch?v=xlPAaJq5Qt0,"The application uses AI-powered image recognition to analyze nutritional content of dishes, providing users with accurate estimates of macronutrients and micronutrients.",Web/Chrome,Aworld,India,0
NutriVision,https://www.youtube.com/watch?v=CpEtrKCwx84,"The application uses artificial intelligence to estimate nutritional content of Indian cuisine directly from images, providing quick and accurate information including calorie, carbohydrate, protein, and fat content.",Flutter,NutriVision,India,0
Nyay Bandhu,https://www.youtube.com/watch?v=f_1FlL7f_l8,"The application provides legal services through various features, including secure registration and consultations via video/text, a multilingual voice assistant, and online filing capabilities. It aims to bridge gaps in drafting, reviewing, and selecting legal personnel by integrating cutting-edge technology with a user-centric approach.","Flutter, Android, Firebase",Nyayprenuerz,India,0
Olifie,https://www.youtube.com/watch?v=1HhXUAAyQ7U,"The application is a comprehensive life organizer that integrates various features to help users manage their health, daily activities, sustainability goals, and emotional well-being through AI-driven insights and personalized recommendations.","Android, ",Srapid,India,0
Omnidirectory,https://www.youtube.com/watch?v=C1cSQPSqpAE,"The application allows users to search for files with a constant time complexity, regardless of their age or upload volume, using an AI assistant that can recall file names without requiring user input.","Web/Chrome, Firebase",jit is the team,India,0
OneAI,https://www.youtube.com/watch?v=opdXrG7yc0E,"The application allows users to generate professional README files for their projects using AI models such as OpenAI, Llama, and more, based on user selections including preferred model, API keys, project directory, and template.",,somwrks,India,0
OnlyBots,https://www.youtube.com/watch?v=6hXsOdXL1Wo,"The application uses the Gemini API to generate original content, analyze context, stay updated on current events, maintain consistent personalities, and create diverse language styles for AI users in a social media simulation environment.",,OnlyBots,India,1
Operon,https://www.youtube.com/watch?v=pl4ebmf8ivk,"The application allows users to submit and develop creative solutions, with a recommendation system powered by Gemini AI that suggests similar ideas and connects users with like-minded individuals. It also provides real-time collaboration opportunities for diverse backgrounds and expertise.",,"Dipanjan Sengupta, Saumya Roy, Soumyajit Mitra",India,1
ORCA AI,https://www.youtube.com/watch?v=hU3ghVq5fWQ,"The application is a social media platform that helps users track their carbon footprint and make eco-friendly choices, providing features such as tracking progress, purchasing sustainable products, and learning about environmental issues.",Web/Chrome,,India,0
Orion - ai research assistant,https://www.youtube.com/watch?v=jDgeQ-hEcks,"The application utilizes a combination of natural language processing (NLP) with large language models (LLMs), image and video processing, cloud storage, efficient code generation, and knowledge graph technology to provide various features such as summarization, chat functionality, and data analysis.","Flutter, Android, Web/Chrome, Firebase","Mr.Harshad Ghutukade , Mr. Ashish Kamble, Mr. Bhuvaneshwar Panchakshari, Mr. Shubhankar Gujar, Mr. Aditya Nyaynirgune, Mr.Samarth Mudale",India,0
Oscar AI Keyboard,https://www.youtube.com/watch?v=LG7vn8ef2ds,"The application provides AI-powered text suggestions, corrections, and improvements based on voice input to enhance typing experience.",Android,Samyarth,India,0
Oxsecure RAG,https://www.youtube.com/watch?v=BdspwXjTrAk,"The application is a chatbot that leverages the Gemini API to assist cybersecurity researchers by providing information, extracting text from documents and URLs, and facilitating question-answering using various technologies such as Beautiful Soup for text extraction and Faiss for vector database storage.","None, Langchain, Streamlit, Faiss, Google A.I python SDK",CyberBuLL,India,1
pAInter,https://www.youtube.com/watch?v=MWN3pdViPMc,"The application transforms users' home design ideas into photorealistic room visualizations using Google's Gemini API and Vertex AI, allowing for real-time adjustments and intelligent design suggestions.","Web/Chrome, Vertex AI, Google Cloud SDK, Google Cloud Project",pAInter,India,1
Panacea,https://www.youtube.com/watch?v=9Zz-wTl62eE,"The application uses AI to help doctors diagnose patients faster and more accurately, leveraging multimodal data extraction from images and text, as well as secure sharing of sensitive information using Google's security layer.",Web/Chrome,Panacea,India,0
PaperCheck AI,https://www.youtube.com/watch?v=zJTiWtxvR4U,"The application simplifies and automates the evaluation process for teachers, grading students' answer sheets and providing detailed feedback to ensure accuracy and fairness.",Web/Chrome,Qhance,India,0
Pawsitivity,https://www.youtube.com/watch?v=barht3749H0,"The application facilitates animal adoption by providing a user-friendly platform for creating profiles, uploading photos, and interacting with others. It also features an AI-powered chatbot to offer support and guidance during the pet adoption process.","Web/Chrome, Firebase",WeAreNext,India,0
PDF MINIMALIZER APP,https://www.youtube.com/watch?v=EqXR-VegBmU,"The application simplifies difficult text in PDF books by using Tesseract OCR to extract text, then rephrasing complex sentences and identifying challenging words with the Google Gemini API, providing customized learning experiences based on user's English proficiency level.",python streamlit,White Rock,India,1
PDF Nexus,https://www.youtube.com/watch?v=SNvG-wJTmIE,"The application allows users to easily extract insights from PDFs using a user-friendly interface, advanced text extraction, and natural language understanding capabilities integrated through the Gemini API.",Web/Chrome,Insightful Coders,India,1
PDF VERSE AI,https://www.youtube.com/watch?v=IVOoSUjx7WY,"The application allows users to converse naturally with PDF documents using artificial intelligence, providing clear and relevant responses to questions about the content.","Web/Chrome, Firebase, Gemini Api",SVECTOR,India,0
peek.ai,https://www.youtube.com/watch?v=yI0_Wj07wb4,"The application uses the Google Gemini API to analyze and summarize LinkedIn profiles, extracting essential details such as job titles, skills, accomplishments, and professional history, and converting them into visually appealing videos with social previews.",Web/Chrome,Team peek.ai,India,1
Pegasus,https://www.youtube.com/watch?v=Fn-xglRtVTA,"The application is an AI assistant that uses natural language to interact with websites, providing a conversational interface for users to navigate and perform tasks on various web-based applications.",Web/Chrome,Nilay Yadav,India,0
Penny,https://www.youtube.com/watch?v=-BfRU48kWQ0,"The application provides a comprehensive personal finance solution, combining education, practical tools, and AI-powered features to help users manage their finances effectively. It uses the Gemini API for integration and offers a unique blend of creativity, impact, and user-centric design.","Flutter, Android, Firebase, Google Cloud Platform",Team Insight,India,1
